Breed Name,Rarity,Dairy,Hump,Mini,Horns,Fluffy,Special,Hybrid,Main Color,Pattern,Secondary Color,Primary US Region,Special Location
Akaushi,5,,,,,,,,red/brown,solid,,"Texas,Nationwide",Specialty Farm
Aleutian Wild Cattle,6,,,,,Thick Coat,,,red/brown,solid,,Aleutian Islands (Alaska),Wild
American Aberdeen (Fka Australian Lowline),4,,,Small,,,,,black,solid,,Nationwide,Specialty Farm
American Angus / Black Angus,1,,,,,,,,black,solid,,Nationwide,
American Milking Devon,5,Dual,,,,,,,dark red,solid,,New England,Specialty Farm
American White Park,4,,,,,,,,white,points,black/red,Nationwide,Specialty Farm
Ankole-Watusi,5,,,,Big,,Very thick horns,,dark red/white,"solid,spotted",dark red/white,"Texas,West",Specialty Farm
Aubrac,4,,,,,,,,fawn,"solid,points",black,Nationwide,Specialty Farm
Ayrshire,3,Dairy,,,,,,,white/red,Spotted,red,"Northeast,Midwest",
Balancer,2,,,,,,,Gelbvieh / Angus,"black,red",solid,,"Midwest,Great Plains",
Barzona,4,,,,,,,,light red/dark red,solid,,Southwest,
Bazadais,5,,,,,,,,dark grey,solid,,Nationwide,Rare Specialty Farm
Beefalo,4,,,,,Thick Coat,,Bison / Cattle,various/red/black,solid,,Nationwide,Specialty Farm
Beefmaster,2,,Slight,,,,,Brahman / Hereford / Shorthorn,various/red/dun,"solid,hereford","white,red","South,Texas,Southwest",
Belgian Blue,4,,,,,,Very muscular,,"blue,white,black",roan,"blue,white,black",Nationwide,Specialty Farm
Belted Galloway,3,,,,,Very Fluffy,,,black/white,belted,white,"Northeast,Midwest",
Black Baldy,2,,,,,Fluffy Head,,Angus / Hereford,black,hereford,white,"Nationwide,Great Plains,West",
Black Hereford,3,,,,,Fluffy Head,,,black,white face,white,"Midwest,South,Plains",
Blonde D'Aquitaine,4,,,,,,,,blonde/fawn,solid,,Nationwide,
Bonsmara,5,,,,,,,,red/brown,solid,,"Texas,Great Plains",Specialty Farm
Boran,5,,Yes,,,,,,"red,grey,white","solid,spotted","red,grey,white","Texas,South",Specialty Farm
Braford,3,,Slight,,,,,Brahman / Hereford,red,white face,white,"Gulf Coast,Florida,South",
Brahman,2,,Yes,,,,Droopy ears,,"light grey,red",ombre,blue,"Gulf Coast,Deep South,Texas",
Brahmousin,4,,Yes,,,,,Limousin / Brahman,"golden,red",solid,,"South,Southwest",
Brangus,2,,Slight,,,,,Brahman / Angus,black,solid,,"South,Gulf Coast,Southwest",
Braunvieh,4,Dual,,,,,,,brown/grey,solid,,"Midwest,Great Plains",
British White,4,,,,,,,,white,points,black,Nationwide,Specialty Farm
Brown Swiss,3,Dairy,,,,,,,light brown/grey,solid,,"Upper Midwest,Northeast",
Bue Lingo,4,,,,,,,,"black,red",belted,white,"Midwest,Plains",Specialty Farm
Charbray,3,,Slight,,,,,Charolais / Brahman,cream/light grey,solid,,"South,Gulf Coast,Texas",
Charolais,1,,,,,Fluffy Head,,,white,solid,,"Great Plains,Midwest,South",
Chiangus (Fka Ankina),3,,,,,,,Chianina / Angus,black,solid,,"Midwest,Great Plains",
Chianina,4,,,,,,Very tall,,white,points,black,"Midwest,Great Plains",Hobby/Show
Corriente,3,,,,Big,,Large horns,,various,various/speckled/roan,various,"Southwest,West,Texas",
Devon,4,,,,,,,,red,solid,,Nationwide,Specialty Farm
Dexter,3,Dual,,,,,Short legs,,"black,red,dun",solid,,Nationwide,Specialty Farm
Dutch Belted / Lakenvelder,5,Dairy,,,,,,,black/white,belted,white,"Midwest,Northeast",Specialty Farm
English Longhorn,5,,,,,,Long downturned horns,,red/brown,lineback,white,Nationwide,Rare Specialty Farm
Fleckvieh,4,Dual,,,,Fluffy Head,,,red/blonde,spotted,white,"Midwest,Great Plains",
Florida Cracker,5,,,,,,,,various,roan/spotted,various,"Florida,Deep South",Specialty Farm
Galloway,4,,,,,Very Fluffy,,,"black,red,dun",solid,,"Northern Plains,Rockies",
Gascon,5,,,,,,,,grey,solid,,Nationwide,Specialty Farm
Gelbray,4,,Slight,,,,,Gebvieh / Brahman,golden-red,solid,,"South,Gulf Coast",
Gelbvieh,2,Some Dual,,,,,,,"golden-red, black",solid,,"Great Plains,Midwest",
Guernsey,3,Dairy,,,,,,,"white,fawn",spotted,"white,fawn","Upper Midwest,Northeast",
Guzerá,5,,Yes,,,,Droopy ears,,grey,ombre,blue,"Texas,Deep South",Specialty Farm
Gyr / Gir,5,Dual,,,,,Long droopy ears,,red/white,speckled,red/white,"Texas,Deep South",Specialty Farm
Hereford,1,,,,,Fluffy Head,,,red,hereford,white,"Nationwide,West,Great Plains",
Highland,3,,,,,Very Fluffy,,,"red,dun,black",solid,,"Northern US,Nationwide",Hobby/Show
Hojo / Kiwicross,3,Dairy,,,,,,Holstein / Jersey,black/white,spotted,black/white,Dairy States (CA/WI/NY),
Holstein Friesian,1,Dairy,,,,,,,black/white,spotted,black/white,Nationwide,
Indo-Brazilian,5,,Yes,,,,Very long droopy ears,,white/light grey,ombre,white/light grey,"South,Texas",Specialty Farm
Jersey,2,Dairy,,,,,,,fawn/light brown,points,white/light brown,Nationwide,
Kerry,5,Dairy,,,,,,,black,solid,,Nationwide,Rare Specialty Farm
Lim-Flex,2,,,,,,,Limousin / Angus,"red,black",solid,,"Great Plains,Midwest",
Limousin,2,,,,,,,,"golden-red,black",solid,,"Great Plains,Nationwide",
Lincoln Red,5,,,,,,,,cherry red,solid,,Nationwide,Specialty Farm
Luing,5,,,,,Very Fluffy,,,"red,dun,roan",solid,,"Northern Rockies,Northwest",Specialty Farm
Maine-Anjou,4,Some Dual,,,,,,,red/white,spotted,red/white,"Midwest,Great Plains",
Mainetainer,4,,,,,,,Maine Anjou / Angus,"black,red",solid,,"Midwest,Great Plains",
Marchigiana,5,,,,,,,,white,points,black,Nationwide,Specialty Farm
Mashona,5,,,,,,,,"black,red",solid,,"South,Texas",Specialty Farm
Milking Shorthorn,3,Dual,,,,,,,"red,white","solid,roan","red,white","Northeast,Midwest",
Miniature Texas Longhorn,4,,,Yes,Big,,Very long horns,,various,"spotted,speckled",various,Nationwide,Specialty Farm
Miniature Zebu,5,,Yes,Yes,,,,,"grey,fawn","ombre,speckled","grey,fawn","South,Nationwide",Specialty Farm
Montbéliarde,4,Dual,,,,,,,red/white,spotted,red/white,Midwest,
Murray Grey,4,,,,,,,,silver-grey,solid,,"West,Nationwide",
Nelore,4,,Yes,,,,,,white/light grey,solid,white/light grey,"Texas,Gulf Coast",Specialty Farm
Normande,5,Dual,,,,,,,white/brown,spotted/speckled,white/brown,Midwest,Specialty Farm
Panda Cow,5,,,Yes,,Very Fluffy,,,black/white,belted/white face,black/white,Nationwide,Rare Specialty Farm
Parthenais,5,,Yes,,,,Very muscular,,golden-brown,ombre,black,Nationwide,Specialty Farm
Piedmontese,4,,,,,,Very muscular,,white/grey,points,grey/black,"Midwest,Great Plains",Specialty Farm
Pineywoods,5,Dual,,,,,,,various,"spotted,roan,lineback",various,"Deep South,Gulf Coast",Specialty Farm
Pinzgauer,4,Dual,,,,,,,chestnut brown,,,Nationwide,Specialty Farm
Procross,3,Dairy,,,,,,Holstein / Montbeliarde / Norwegian Red,various,"spotted,roan",,Dairy States (CA/WI/NY),
Randall Lineback,5,Dual,,,,,,,black/blue/white,lineback,white,New England,Rare Specialty Farm
Raramuri Criollo,5,,,,,,,,various,"roan,spotted",various,Southwest,Specialty Farm
Red And White Holstein,3,Dairy,,,,,,,red/white,spotted,red/white,Nationwide,
Red Angus,1,,,,,,,,red,solid,,"Great Plains,Nationwide",
Red Baldy,2,,,,,Fluffy Head,,Red Angus / Hereford,red,white face,white,"Great Plains,West",
Red Brangus,3,,Slight,,,,,Brahman / Red Angus,red,solid,,"South,Gulf Coast,Texas",
Red Poll,4,Dual,,,,,,,deep red,solid,,Nationwide,Specialty Farm
Romagnola,5,,,,,,,,white,points,black,"Plains,South",Specialty Farm
Salers,4,Some Dual,,,,Thick Coat,,,"deep red,black",solid,,"Rockies,Northern Plains",
Santa Gertrudis,2,,Slight,,,,,Brahman / Shorthorn,cherry red,solid,,"Texas,South,Gulf Coast",
Senepol,4,,,,,Shiny Coat,,,light red,solid,,"South,Florida,Puerto Rico",
Shorthorn,2,,,,,,,,red/white,roan,red/white,"Midwest,Great Plains",
Simangus,2,,,,,,,Simmental / Angus,"black,red",solid,,"Great Plains,Midwest",
Simbrah,3,,Slight,,,,,Simmental / Brahman,"red,yellow,white,black","solid,spotted","red,yellow,white","South,Gulf Coast,Texas",
Simmental,1,Some Dual,,,,Fluffy Head,,,"red,yellow,white,black","solid,spotted","red,yellow,white","Great Plains,Midwest",
Smokey / Charolais Cross,2,,,,,,,Charolais / Angus,mouse-grey,solid,,"South,Midwest,Great Plains",
South Devon,4,Dual,,,,Thick Coat,,,light red,solid,,"Great Plains,Nationwide",
Speckle Park,3,,,,,,,,white,speckled,black,Nationwide,
Stabiliser,4,,,,,,,,"red,black",solid,,"Great Plains,West",
Super Baldy,3,,Slight,,,Fluffy Head,,Brangus / Hereford,black,white face,white,"West,Great Plains",
Sussex,5,,,,,,,,dark red,solid,,"South,Nationwide",Specialty Farm
Tarentaise,5,Dual,,,,,,,fawn,"points,solid",black,"Rockies,Great Plains",Specialty Farm
Texas Longhorn,3,,,,Big,,Very long horns,,various,"speckled,spotted",various,"Texas,Southwest,Nationwide",Hobby/Show
Tiger Stripe,2,,Slight,,,,,Brahman / Hereford,red/black/dun,brindle,red/black/dun,"Texas,Gulf Coast,South",
Tuli,5,,Yes,,,,,,"yellow,golden,red",solid,,South,Specialty Farm
Wagyu (Japanese Black),4,,,,,,,,black,solid,,Nationwide,Specialty Farm
Welsh Black,5,Dual,,,,Thick Coat,,,black,solid,,Nationwide,Specialty Farm